tick,strategy,count,freq,mean_energy,mean_skill,mean_iq,mean_era,max_era
500,cultural,334,0.1114,40.205,0.2734,0.4540,0.000,0
500,asocial,2664,0.8886,56.783,0.0000,0.4263,0.000,0
1000,cultural,510,0.1702,55.412,0.5988,0.4617,0.000,0
1000,asocial,2487,0.8298,88.246,0.0000,0.4286,0.000,0
1500,cultural,446,0.1489,79.978,0.8281,0.4741,0.000,0
1500,asocial,2549,0.8511,119.955,0.0000,0.4575,0.000,0
2000,cultural,343,0.1144,102.851,0.8299,0.4756,0.000,0
2000,asocial,2654,0.8856,140.197,0.0000,0.4793,0.000,0
2500,cultural,252,0.0841,126.844,0.8341,0.4785,0.000,0
2500,asocial,2745,0.9159,144.993,0.0000,0.4925,0.000,0
3000,cultural,181,0.0604,147.626,0.8370,0.4908,0.000,0
3000,asocial,2817,0.9396,116.106,0.0000,0.5084,0.000,0
3500,cultural,104,0.0347,115.372,0.8384,0.4896,0.000,0
3500,asocial,2889,0.9653,86.872,0.0000,0.5215,0.000,0
4000,cultural,46,0.0153,74.938,0.8359,0.5117,0.000,0
4000,asocial,2951,0.9847,67.907,0.0000,0.5278,0.000,0
4500,cultural,25,0.0083,100.841,0.8361,0.4928,0.000,0
4500,asocial,2973,0.9917,58.221,0.0000,0.5332,0.000,0
5000,cultural,24,0.0080,106.739,0.8396,0.5066,0.000,0
5000,asocial,2970,0.9920,60.266,0.0000,0.5343,0.000,0
5500,cultural,17,0.0057,78.396,0.8054,0.5123,0.000,0
5500,asocial,2975,0.9943,58.727,0.0000,0.5327,0.000,0
6000,cultural,13,0.0043,36.290,0.7673,0.5419,0.000,0
6000,asocial,2985,0.9957,57.371,0.0000,0.5330,0.000,0
6500,cultural,13,0.0043,36.176,0.7673,0.5555,0.000,0
6500,asocial,2983,0.9957,56.524,0.0000,0.5276,0.000,0
7000,cultural,8,0.0027,47.736,0.7933,0.5500,0.000,0
7000,asocial,2987,0.9973,54.128,0.0000,0.5231,0.000,0
7500,cultural,3,0.0010,64.635,0.7160,0.5372,0.000,0
7500,asocial,2991,0.9990,54.710,0.0000,0.5218,0.000,0
8000,cultural,5,0.0017,47.562,0.7643,0.5414,0.000,0
8000,asocial,2989,0.9983,58.137,0.0000,0.5216,0.000,0
8500,cultural,3,0.0010,16.769,0.7160,0.5412,0.000,0
8500,asocial,2994,0.9990,57.582,0.0000,0.5203,0.000,0
9000,cultural,7,0.0023,65.193,0.1498,0.5280,0.000,0
9000,asocial,2990,0.9977,61.908,0.0000,0.5247,0.000,0
9500,cultural,13,0.0043,59.073,0.0351,0.5251,0.000,0
9500,asocial,2984,0.9957,66.148,0.0000,0.5293,0.000,0
10000,cultural,17,0.0057,51.270,0.0615,0.5099,0.000,0
10000,asocial,2979,0.9943,65.715,0.0000,0.5283,0.000,0
10500,cultural,21,0.0070,42.294,0.0627,0.5152,0.000,0
10500,asocial,2976,0.9930,67.075,0.0000,0.5224,0.000,0
11000,cultural,19,0.0063,54.476,0.0595,0.5159,0.000,0
11000,asocial,2981,0.9937,60.178,0.0000,0.5198,0.000,0
11500,cultural,17,0.0057,65.432,0.0567,0.5168,0.000,0
11500,asocial,2978,0.9943,60.004,0.0000,0.5126,0.000,0
12000,cultural,13,0.0043,74.053,0.0503,0.5027,0.000,0
12000,asocial,2984,0.9957,60.372,0.0000,0.5111,0.000,0
12500,cultural,8,0.0027,109.837,0.0483,0.4862,0.000,0
12500,asocial,2991,0.9973,63.813,0.0000,0.5132,0.000,0
13000,cultural,2,0.0007,39.542,0.0132,0.5416,0.000,0
13000,asocial,2994,0.9993,65.296,0.0000,0.5168,0.000,0
13500,cultural,1,0.0003,43.811,-0.0411,0.5642,0.000,0
13500,asocial,2994,0.9997,65.784,0.0000,0.5198,0.000,0
14000,cultural,6,0.0020,36.140,0.0164,0.5277,0.000,0
14000,asocial,2989,0.9980,67.990,0.0000,0.5240,0.000,0
14500,cultural,12,0.0040,69.706,0.0507,0.5182,0.000,0
14500,asocial,2984,0.9960,70.450,0.0000,0.5256,0.000,0
15000,cultural,15,0.0050,82.377,0.0508,0.5342,0.000,0
15000,asocial,2983,0.9950,66.236,0.0000,0.5258,0.000,0
15500,cultural,24,0.0080,70.255,0.0481,0.5470,0.000,0
15500,asocial,2972,0.9920,63.602,0.0000,0.5240,0.000,0
16000,cultural,33,0.0110,63.347,0.0527,0.5408,0.000,0
16000,asocial,2965,0.9890,65.864,0.0000,0.5253,0.000,0
16500,cultural,30,0.0100,59.107,0.0527,0.5241,0.000,0
16500,asocial,2968,0.9900,66.924,0.0000,0.5302,0.000,0
17000,cultural,30,0.0100,61.913,0.0544,0.5159,0.000,0
17000,asocial,2965,0.9900,66.943,0.0000,0.5322,0.000,0
17500,cultural,25,0.0084,96.576,0.0544,0.5004,0.000,0
17500,asocial,2969,0.9916,68.682,0.0000,0.5320,0.000,0
18000,cultural,22,0.0073,122.694,0.0534,0.4561,0.000,0
18000,asocial,2975,0.9927,67.739,0.0000,0.5297,0.000,0
18500,cultural,35,0.0117,115.976,0.0544,0.4729,0.000,0
18500,asocial,2957,0.9883,67.971,0.0000,0.5222,0.000,0
19000,cultural,34,0.0113,107.088,0.0549,0.4966,0.000,0
19000,asocial,2966,0.9887,65.675,0.0000,0.5162,0.000,0
19500,cultural,33,0.0110,115.634,0.0548,0.4812,0.000,0
19500,asocial,2965,0.9890,64.417,0.0000,0.5108,0.000,0
20000,cultural,27,0.0090,96.536,0.0537,0.4865,0.000,0
20000,asocial,2971,0.9910,61.977,0.0000,0.5053,0.000,0
