tick,strategy,count,freq,mean_energy,mean_skill,mean_iq,mean_era,max_era
500,cultural,22,0.0073,46.854,0.2397,0.4734,0.000,0
500,asocial,2973,0.9927,55.737,0.0200,0.4345,0.000,0
1000,cultural,9,0.0030,49.076,0.5226,0.4432,0.000,0
1000,asocial,2985,0.9970,73.687,0.0743,0.4190,0.000,0
1500,cultural,5,0.0020,49.549,0.5932,0.4410,0.000,0
1500,asocial,2542,0.9980,104.147,0.0831,0.3978,0.000,0
2000,cultural,1,0.0005,200.608,0.6624,0.4046,0.000,0
2000,asocial,2166,0.9995,132.644,0.0761,0.3856,0.000,0
2500,cultural,1,0.0005,173.584,0.6624,0.4046,0.000,0
2500,asocial,1832,0.9995,163.455,0.0626,0.3727,0.000,0
