tick,strategy,count,freq,mean_energy,mean_skill,mean_iq,mean_era,max_era
500,cultural,20,0.0067,39.957,0.1139,0.4853,0.000,0
500,asocial,2977,0.9933,57.392,0.0059,0.4546,0.000,0
1000,cultural,12,0.0040,26.756,0.1127,0.4808,0.000,0
1000,asocial,2981,0.9960,71.901,0.0050,0.4510,0.000,0
1500,cultural,2,0.0007,107.139,0.3016,0.4759,0.000,0
1500,asocial,2996,0.9993,85.784,0.0879,0.4669,0.000,0
2000,cultural,2,0.0007,83.180,0.6356,0.4759,0.000,0
2000,asocial,2995,0.9993,96.263,0.1797,0.4673,0.000,0
2500,cultural,2,0.0007,59.222,0.7202,0.4759,0.000,0
2500,asocial,2995,0.9993,104.355,0.1503,0.4498,0.000,0
