tick,strategy,count,freq,mean_energy,mean_skill,mean_iq,mean_era,max_era
500,cultural,77,0.0257,39.070,0.1363,0.4974,0.000,0
500,asocial,2920,0.9743,36.222,0.0000,0.4898,0.000,0
1000,cultural,222,0.0741,34.055,0.3504,0.4809,0.000,0
1000,asocial,2772,0.9259,40.746,0.0000,0.4836,0.000,0
1500,cultural,425,0.1417,38.290,0.5458,0.4736,0.000,0
1500,asocial,2574,0.8583,48.728,0.0000,0.4791,0.000,0
2000,cultural,517,0.1727,44.445,0.6394,0.4671,0.000,0
2000,asocial,2477,0.8273,61.249,0.0000,0.4733,0.000,0
2500,cultural,518,0.1728,55.152,0.7369,0.4551,0.000,0
2500,asocial,2479,0.8272,68.698,0.0000,0.4647,0.000,0
