tick,strategy,count,freq,mean_energy,mean_skill,mean_iq,mean_era,max_era
500,cultural,41,0.0137,53.831,0.0380,0.4835,0.000,0
500,asocial,2957,0.9863,35.799,0.0000,0.4727,0.000,0
1000,cultural,45,0.0150,53.958,0.0391,0.4852,0.000,0
1000,asocial,2952,0.9850,45.248,0.0000,0.4680,0.000,0
1500,cultural,64,0.0214,49.301,0.0900,0.4599,0.000,0
1500,asocial,2929,0.9786,55.327,0.0000,0.4616,0.000,0
2000,cultural,146,0.0487,42.828,0.2125,0.4610,0.000,0
2000,asocial,2850,0.9513,66.432,0.0000,0.4504,0.000,0
2500,cultural,198,0.0661,39.379,0.3412,0.4466,0.000,0
2500,asocial,2798,0.9339,79.754,0.0000,0.4476,0.000,0
