tick,strategy,count,freq,mean_energy,mean_skill,mean_iq,mean_era,max_era
500,cultural,66,0.0220,49.032,0.0660,0.4714,0.000,0
500,asocial,2933,0.9780,36.166,0.0000,0.4820,0.000,0
1000,cultural,83,0.0277,63.978,0.0888,0.4614,0.000,0
1000,asocial,2914,0.9723,49.844,0.0000,0.4708,0.000,0
1500,cultural,192,0.0641,56.789,0.1632,0.4704,0.000,0
1500,asocial,2804,0.9359,61.444,0.0000,0.4608,0.000,0
2000,cultural,219,0.0731,64.768,0.2459,0.4677,0.000,0
2000,asocial,2778,0.9269,71.281,0.0000,0.4503,0.000,0
2500,cultural,311,0.1038,63.168,0.3151,0.4511,0.000,0
2500,asocial,2686,0.8962,79.950,0.0000,0.4374,0.000,0
