tick,strategy,count,freq,mean_energy,mean_skill,mean_iq,mean_era,max_era
500,cultural,66,0.0221,33.951,0.0785,0.4873,0.000,0
500,asocial,2925,0.9779,30.611,0.0000,0.4796,0.000,0
1000,cultural,88,0.0294,38.604,0.0938,0.4847,0.000,0
1000,asocial,2907,0.9706,39.265,0.0000,0.4743,0.000,0
1500,cultural,128,0.0427,46.209,0.1264,0.4985,0.000,0
1500,asocial,2872,0.9573,48.155,0.0000,0.4767,0.000,0
2000,cultural,126,0.0420,51.765,0.1260,0.4909,0.000,0
2000,asocial,2873,0.9580,54.732,0.0000,0.4747,0.000,0
2500,cultural,109,0.0378,63.810,0.1370,0.4746,0.000,0
2500,asocial,2778,0.9622,64.328,0.0000,0.4739,0.000,0
