tick,strategy,count,freq,mean_energy,mean_skill,mean_iq,mean_era,max_era
500,cultural,22,0.0073,52.854,0.1128,0.4971,0.000,0
500,asocial,2975,0.9927,32.083,0.0022,0.4821,0.000,0
1000,cultural,21,0.0070,43.656,0.2281,0.4959,0.000,0
1000,asocial,2975,0.9930,36.854,0.0241,0.4775,0.000,0
1500,cultural,18,0.0060,39.780,0.4046,0.4994,0.000,0
1500,asocial,2979,0.9940,44.034,0.0545,0.4690,0.000,0
2000,cultural,114,0.0381,39.711,1.2585,0.4438,0.000,0
2000,asocial,2880,0.9619,58.616,0.2305,0.4583,0.000,0
2500,cultural,108,0.0360,39.528,1.2678,0.4437,0.000,0
2500,asocial,2890,0.9640,66.482,0.2243,0.4565,0.000,0
