tick,strategy,count,freq,mean_energy,mean_skill,mean_iq,mean_era,max_era
500,cultural,47,0.0157,34.156,1.6291,0.4970,0.000,0
500,asocial,2947,0.9843,53.615,0.5026,0.4696,0.000,0
1000,cultural,33,0.0127,49.525,1.7548,0.4904,0.000,0
1000,asocial,2562,0.9873,83.801,0.6124,0.4649,0.000,1
1500,cultural,27,0.0135,42.353,1.7426,0.4899,0.000,0
1500,asocial,1978,0.9865,118.744,0.5347,0.4533,0.009,1
2000,cultural,14,0.0081,47.842,1.8097,0.4987,0.000,0
2000,asocial,1717,0.9919,146.032,0.4286,0.4365,0.008,1
2500,cultural,10,0.0033,51.651,1.8097,0.4964,0.000,0
2500,asocial,2989,0.9967,111.078,0.2105,0.4388,0.003,1
