tick,strategy,count,freq,mean_energy,mean_skill,mean_iq,mean_era,max_era
500,cultural,43,0.0144,42.211,0.0502,0.4876,0.000,0
500,asocial,2950,0.9856,33.016,0.0000,0.4822,0.000,0
1000,cultural,103,0.0343,37.410,0.0927,0.4516,0.000,0
1000,asocial,2896,0.9657,40.217,0.0000,0.4692,0.000,0
1500,cultural,258,0.0861,34.291,0.1920,0.4687,0.000,0
1500,asocial,2738,0.9139,48.209,0.0000,0.4591,0.000,0
2000,cultural,311,0.1037,37.119,0.2984,0.4706,0.000,0
2000,asocial,2687,0.8963,55.176,0.0000,0.4492,0.000,0
2500,cultural,257,0.0857,45.468,0.3176,0.4600,0.000,0
2500,asocial,2741,0.9143,77.153,0.0000,0.4246,0.000,0
