tick,strategy,count,freq,mean_energy,mean_skill,mean_iq,mean_era,max_era
500,cultural,123,0.0411,47.419,0.1169,0.4690,0.000,0
500,asocial,2870,0.9589,34.248,0.0000,0.4839,0.000,0
1000,cultural,258,0.0861,47.360,0.2081,0.4781,0.000,0
1000,asocial,2738,0.9139,42.470,0.0000,0.4780,0.000,0
1500,cultural,250,0.0834,58.907,0.2261,0.4751,0.000,0
1500,asocial,2747,0.9166,51.784,0.0000,0.4713,0.000,0
2000,cultural,218,0.0727,70.270,0.2356,0.4711,0.000,0
2000,asocial,2779,0.9273,62.919,0.0000,0.4542,0.000,0
2500,cultural,179,0.0597,81.495,0.2976,0.4621,0.000,0
2500,asocial,2817,0.9403,70.297,0.0000,0.4407,0.000,0
