tick,strategy,count,freq,mean_energy,mean_skill,mean_iq,mean_era,max_era
500,cultural,43,0.0144,42.211,0.0502,0.4876,0.000,0
500,asocial,2950,0.9856,33.016,0.0000,0.4822,0.000,0
1000,cultural,73,0.0243,40.025,0.0856,0.4444,0.000,0
1000,asocial,2926,0.9757,39.968,0.0000,0.4690,0.000,0
1500,cultural,126,0.0420,39.095,0.1661,0.4444,0.000,0
1500,asocial,2873,0.9580,45.642,0.0000,0.4566,0.000,0
2000,cultural,138,0.0460,37.131,0.2331,0.4501,0.000,0
2000,asocial,2861,0.9540,51.596,0.0000,0.4470,0.000,0
2500,cultural,122,0.0408,55.168,0.2538,0.4690,0.000,0
2500,asocial,2870,0.9592,57.866,0.0000,0.4476,0.000,0
