tick,strategy,count,freq,mean_energy,mean_skill,mean_iq,mean_era,max_era
500,cultural,29,0.0097,86.243,0.8615,0.4373,0.000,0
500,asocial,2966,0.9903,56.570,0.2048,0.4590,0.000,0
1000,cultural,40,0.0134,52.663,1.2022,0.4394,0.000,0
1000,asocial,2956,0.9866,75.614,0.3299,0.4539,0.000,0
1500,cultural,33,0.0132,52.550,1.1985,0.4345,0.000,0
1500,asocial,2461,0.9868,103.077,0.2987,0.4415,0.000,0
2000,cultural,24,0.0086,60.633,1.8316,0.4268,0.000,0
2000,asocial,2770,0.9914,129.755,0.6731,0.4090,0.000,0
2500,cultural,15,0.0063,101.725,1.9972,0.4440,0.000,0
2500,asocial,2383,0.9937,148.838,0.6645,0.3948,0.000,0
