tick,strategy,count,freq,mean_energy,mean_skill,mean_iq,mean_era,max_era
500,cultural,20,0.0067,60.372,0.0227,0.4885,0.000,0
500,asocial,2978,0.9933,37.478,0.0003,0.4817,0.000,0
1000,cultural,20,0.0067,53.951,0.0377,0.4885,0.000,0
1000,asocial,2978,0.9933,50.725,0.0019,0.4705,0.000,0
1500,cultural,20,0.0067,46.621,0.1083,0.4885,0.000,0
1500,asocial,2976,0.9933,63.800,0.0032,0.4623,0.000,0
2000,cultural,20,0.0067,38.509,0.1283,0.4885,0.000,0
2000,asocial,2980,0.9933,77.810,0.0039,0.4503,0.000,0
2500,cultural,21,0.0070,33.788,0.1685,0.4644,0.000,0
2500,asocial,2977,0.9930,89.288,0.0147,0.4404,0.000,0
