tick,strategy,count,freq,mean_energy,mean_skill,mean_iq,mean_era,max_era
500,cultural,96,0.0320,49.115,0.1390,0.4604,0.000,0
500,asocial,2901,0.9680,35.579,0.0000,0.4858,0.000,0
1000,cultural,112,0.0374,44.211,0.1530,0.4617,0.000,0
1000,asocial,2886,0.9626,44.077,0.0000,0.4795,0.000,0
1500,cultural,288,0.0961,43.376,0.2526,0.4717,0.000,0
1500,asocial,2709,0.9039,54.739,0.0000,0.4723,0.000,0
2000,cultural,239,0.0797,58.940,0.2868,0.4636,0.000,0
2000,asocial,2760,0.9203,67.901,0.0000,0.4617,0.000,0
2500,cultural,352,0.1174,59.547,0.6687,0.4793,0.000,0
2500,asocial,2647,0.8826,79.450,0.0000,0.4478,0.000,0
