tick,strategy,count,freq,mean_energy,mean_skill,mean_iq,mean_era,max_era
500,cultural,22,0.0073,43.644,0.1277,0.4803,0.000,0
500,asocial,2975,0.9927,30.881,0.0051,0.4800,0.000,0
1000,cultural,21,0.0070,43.582,0.1604,0.4793,0.000,0
1000,asocial,2977,0.9930,39.693,0.0101,0.4768,0.000,0
1500,cultural,20,0.0067,42.328,0.5278,0.4790,0.000,0
1500,asocial,2975,0.9933,49.105,0.0864,0.4732,0.000,0
2000,cultural,39,0.0130,27.768,0.6772,0.4814,0.000,0
2000,asocial,2956,0.9870,59.813,0.1676,0.4690,0.000,0
2500,cultural,30,0.0100,23.839,0.8350,0.4835,0.000,0
2500,asocial,2968,0.9900,71.901,0.1633,0.4714,0.000,0
