tick,strategy,count,freq,mean_energy,mean_skill,mean_iq,mean_era,max_era
500,cultural,43,0.0144,42.211,0.0502,0.4876,0.000,0
500,asocial,2950,0.9856,33.016,0.0000,0.4822,0.000,0
1000,cultural,73,0.0243,40.025,0.0856,0.4444,0.000,0
1000,asocial,2926,0.9757,39.968,0.0000,0.4690,0.000,0
1500,cultural,125,0.0417,37.387,0.1668,0.4449,0.000,0
1500,asocial,2873,0.9583,45.323,0.0000,0.4555,0.000,0
2000,cultural,139,0.0464,41.772,0.1970,0.4536,0.000,0
2000,asocial,2857,0.9536,52.868,0.0000,0.4482,0.000,0
2500,cultural,124,0.0414,54.836,0.2294,0.4497,0.000,0
2500,asocial,2873,0.9586,64.366,0.0000,0.4454,0.000,0
