tick,strategy,count,freq,mean_energy,mean_skill,mean_iq,mean_era,max_era
500,cultural,20,0.0067,66.037,0.0782,0.4929,0.000,0
500,asocial,2978,0.9933,37.701,0.0022,0.4754,0.000,0
1000,cultural,20,0.0067,61.623,0.1043,0.4929,0.000,0
1000,asocial,2976,0.9933,43.936,0.0044,0.4708,0.000,0
1500,cultural,20,0.0067,56.716,0.1829,0.4929,0.000,0
1500,asocial,2978,0.9933,53.669,0.0156,0.4615,0.000,0
2000,cultural,20,0.0067,47.914,0.3795,0.4929,0.000,0
2000,asocial,2980,0.9933,63.077,0.0392,0.4531,0.000,0
2500,cultural,36,0.0120,32.896,0.5288,0.4846,0.000,0
2500,asocial,2958,0.9880,71.575,0.0886,0.4419,0.000,0
