tick,strategy,count,freq,mean_energy,mean_skill,mean_iq,mean_era,max_era
2000,cultural,464,0.2522,94.778,2.2480,0.4653,0.000,0
2000,asocial,1376,0.7478,165.776,0.0000,0.3864,0.000,0
4000,cultural,160,0.1639,292.511,2.3026,0.4463,0.050,1
4000,asocial,816,0.8361,258.175,0.0000,0.3475,0.000,0
6000,cultural,17,0.0416,705.844,2.3657,0.3909,0.000,0
6000,asocial,392,0.9584,357.884,0.0000,0.3591,0.000,0
8000,cultural,1,0.0054,594.847,2.3657,0.2816,0.000,0
8000,asocial,183,0.9946,291.919,0.0000,0.3744,0.000,0
10000,cultural,2,0.0250,53.842,0.0160,0.3576,0.000,0
10000,asocial,78,0.9750,294.398,0.0000,0.3887,0.000,0
12000,cultural,9,0.1200,112.734,0.0286,0.3628,0.000,0
12000,asocial,66,0.8800,364.816,0.0000,0.3938,0.000,0
