tick,strategy,count,freq,mean_energy,mean_skill,mean_iq,mean_era,max_era
500,cultural,809,0.2698,55.867,0.9586,0.4607,0.000,0
500,asocial,2189,0.7302,67.243,0.0000,0.4312,0.000,0
1000,cultural,756,0.2523,63.913,1.1294,0.4584,0.008,1
1000,asocial,2241,0.7477,87.229,0.0000,0.4206,0.000,0
1500,cultural,591,0.2121,83.899,1.3165,0.4528,0.027,1
1500,asocial,2196,0.7879,111.698,0.0000,0.4039,0.000,0
2000,cultural,446,0.1735,115.339,1.5227,0.4486,0.029,1
2000,asocial,2124,0.8265,134.696,0.0000,0.3897,0.000,0
2500,cultural,345,0.1475,154.829,1.6379,0.4387,0.026,1
2500,asocial,1994,0.8525,155.691,0.0000,0.3848,0.000,0
3000,cultural,262,0.1403,194.639,1.6756,0.4361,0.031,1
3000,asocial,1605,0.8597,185.571,0.0000,0.3737,0.000,0
3500,cultural,204,0.0792,232.665,1.6686,0.4266,0.029,1
3500,asocial,2373,0.9208,140.583,0.0000,0.3733,0.000,0
4000,cultural,768,0.2563,102.830,1.8633,0.4674,0.007,1
4000,asocial,2229,0.7437,149.066,0.0000,0.3843,0.000,0
4500,cultural,622,0.2655,104.633,1.9871,0.4638,0.011,1
4500,asocial,1721,0.7345,173.568,0.0000,0.3806,0.000,0
5000,cultural,396,0.2458,98.832,2.0515,0.4606,0.013,1
5000,asocial,1215,0.7542,191.767,0.0000,0.3691,0.000,0
5500,cultural,252,0.2301,85.999,2.0876,0.4581,0.004,1
5500,asocial,843,0.7699,198.839,0.0000,0.3590,0.000,0
6000,cultural,175,0.2352,88.120,2.1023,0.4477,0.000,0
6000,asocial,569,0.7648,214.201,0.0000,0.3542,0.000,0
6500,cultural,150,0.2793,81.642,2.1111,0.4215,0.000,0
6500,asocial,387,0.7207,229.513,0.0000,0.3448,0.000,0
7000,cultural,89,0.2412,80.179,2.1177,0.4107,0.000,0
7000,asocial,280,0.7588,224.792,0.0000,0.3461,0.000,0
7500,cultural,30,0.1685,90.068,2.1378,0.3475,0.000,0
7500,asocial,148,0.8315,231.851,0.0000,0.3280,0.000,0
8000,cultural,16,0.1495,81.513,2.1560,0.3179,0.000,0
8000,asocial,91,0.8505,195.918,0.0000,0.3023,0.000,0
8500,cultural,13,0.1512,96.356,2.1659,0.2908,0.000,0
8500,asocial,73,0.8488,215.017,0.0000,0.2955,0.000,0
9000,cultural,11,0.1719,156.795,2.1708,0.2849,0.000,0
9000,asocial,53,0.8281,277.913,0.0000,0.2972,0.000,0
9500,cultural,10,0.1786,298.861,2.1792,0.2710,0.000,0
9500,asocial,46,0.8214,250.092,0.0000,0.2979,0.000,0
10000,cultural,7,0.1250,397.446,2.1789,0.2646,0.000,0
10000,asocial,49,0.8750,154.474,0.0000,0.3116,0.000,0
10500,cultural,3,0.0545,681.719,2.1806,0.2906,0.000,0
10500,asocial,52,0.9455,157.149,0.0000,0.3019,0.000,0
11000,cultural,0,0.0000,0.000,0.0000,0.0000,0.000,0
11000,asocial,74,1.0000,100.514,0.0000,0.3061,0.000,0
11500,cultural,0,0.0000,0.000,0.0000,0.0000,0.000,0
11500,asocial,78,1.0000,121.860,0.0000,0.2915,0.000,0
12000,cultural,0,0.0000,0.000,0.0000,0.0000,0.000,0
12000,asocial,67,1.0000,162.317,0.0000,0.2918,0.000,0
12500,cultural,0,0.0000,0.000,0.0000,0.0000,0.000,0
12500,asocial,81,1.0000,180.318,0.0000,0.2851,0.000,0
13000,cultural,0,0.0000,0.000,0.0000,0.0000,0.000,0
13000,asocial,70,1.0000,282.031,0.0000,0.2840,0.000,0
13500,cultural,0,0.0000,0.000,0.0000,0.0000,0.000,0
13500,asocial,66,1.0000,342.897,0.0000,0.2864,0.000,0
14000,cultural,0,0.0000,0.000,0.0000,0.0000,0.000,0
14000,asocial,64,1.0000,369.266,0.0000,0.2807,0.000,0
14500,cultural,0,0.0000,0.000,0.0000,0.0000,0.000,0
14500,asocial,73,1.0000,387.037,0.0000,0.2779,0.000,0
15000,cultural,0,0.0000,0.000,0.0000,0.0000,0.000,0
15000,asocial,79,1.0000,386.996,0.0000,0.2864,0.000,0
15500,cultural,3,0.0116,32.734,0.0305,0.2631,0.000,0
15500,asocial,256,0.9884,184.386,0.0000,0.3019,0.000,0
16000,cultural,14,0.0260,27.442,0.0744,0.2956,0.000,0
16000,asocial,525,0.9740,144.280,0.0000,0.2911,0.000,0
16500,cultural,36,0.0244,37.112,0.0834,0.2772,0.000,0
16500,asocial,1439,0.9756,102.740,0.0000,0.2868,0.000,0
17000,cultural,108,0.0360,47.933,0.1100,0.2612,0.000,0
17000,asocial,2888,0.9640,91.632,0.0000,0.2725,0.000,0
17500,cultural,97,0.0324,62.590,0.1222,0.2473,0.000,0
17500,asocial,2900,0.9676,111.167,0.0000,0.2567,0.000,0
18000,cultural,80,0.0267,66.159,0.1207,0.2311,0.000,0
18000,asocial,2919,0.9733,112.318,0.0000,0.2446,0.000,0
18500,cultural,46,0.0154,92.830,0.1210,0.2221,0.000,0
18500,asocial,2948,0.9846,100.866,0.0000,0.2440,0.000,0
19000,cultural,34,0.0113,104.352,0.1175,0.2374,0.000,0
19000,asocial,2963,0.9887,90.557,0.0000,0.2614,0.000,0
19500,cultural,25,0.0083,125.099,0.1291,0.2503,0.000,0
19500,asocial,2972,0.9917,76.702,0.0000,0.2851,0.000,0
20000,cultural,22,0.0073,127.833,0.1333,0.2598,0.000,0
20000,asocial,2976,0.9927,67.266,0.0000,0.3029,0.000,0
